Country,Year,Residence Type,Basic service,Limited service,No handwashing facility,Open defecation,Safely managed service,Surface water,Unimproved
Andorra,2004,rural,56.657469999999996,0.0,0.0,0.0,43.34253,0.0,0.0
Andorra,2004,total,33.00873,0.0,0.0,0.0,66.991265,0.0,0.0
Andorra,2004,urban,56.657469999999996,0.0,0.0,0.0,43.34253,0.0,0.0
Andorra,2005,rural,49.472840000000005,0.0,0.0,0.0,50.527159999999995,0.0,0.0
Andorra,2005,total,29.416420000000002,0.0,0.0,0.0,70.58358,0.0,0.0
Andorra,2005,urban,49.472840000000005,0.0,0.0,0.0,50.527159999999995,0.0,0.0
Andorra,2006,rural,42.28822,0.0,0.0,0.0,57.711780000000005,0.0,0.0
Andorra,2006,total,25.82411,0.0,0.0,0.0,74.175895,0.0,0.0
Andorra,2006,urban,42.28822,0.0,0.0,0.0,57.711780000000005,0.0,0.0
Andorra,2008,rural,27.91897,0.0,0.0,0.0,72.08103,0.0,0.0
Andorra,2008,total,18.639485,0.0,0.0,0.0,81.36051499999999,0.0,0.0
Andorra,2008,urban,27.91897,0.0,0.0,0.0,72.08103,0.0,0.0
Andorra,2016,rural,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Andorra,2016,total,4.68,0.0,0.0,0.0,95.32,0.0,0.0
Andorra,2016,urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Andorra,2017,rural,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Andorra,2017,total,4.68,0.0,0.0,0.0,95.32,0.0,0.0
Andorra,2017,urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Angola,2000,rural,14.341829999999998,8.95353,0.0,66.71370999999999,0.0,47.18486,19.755354999999998
Angola,2000,total,34.350915,16.191195,0.0,42.86651,0.0,28.695690000000003,13.676785000000002
Angola,2000,urban,54.290490000000005,23.40372,0.0,19.10217,0.0,10.270760000000001,7.61932
Angola,2001,rural,14.991435000000001,8.86801,0.0,66.0164,0.0,46.81449,19.725115
Angola,2001,total,35.621945000000004,16.204314999999998,0.0,41.41483,0.0,28.077059999999996,13.427795
Angola,2001,urban,55.227255,23.17605,0.0,18.03581,0.0,10.270760000000001,7.443415
Angola,2002,rural,15.6407,8.782835,0.0,65.3191,0.0,46.444109999999995,19.694865
Angola,2002,total,36.899635,16.21422,0.0,39.954390000000004,0.0,27.467209999999998,13.17535
Angola,2002,urban,56.164015000000006,22.948375,0.0,16.96945,0.0,10.270760000000001,7.267505
Angola,2003,rural,16.289614999999998,8.698,0.0,64.62179,0.0,46.07374,19.66462
Angola,2003,total,38.109965,16.193605,0.0,38.48665,0.0,26.555590000000002,13.175315000000001
Angola,2003,urban,56.965075,22.670595,0.0,15.903089999999999,0.0,9.68983,7.567865
Angola,2004,rural,16.93819,8.61351,0.0,63.924490000000006,0.0,45.70337,19.63437
Angola,2004,total,39.320865,16.17036,0.0,37.011140000000005,0.0,25.63972,13.183345000000001
Angola,2004,urban,57.762370000000004,22.39659,0.0,14.83673,0.0,9.10891,7.86822
Angola,2005,rural,17.586425000000002,8.52936,0.0,63.22719,0.0,45.33299,19.604125
Angola,2005,total,40.52933,16.143675,0.0,35.53137,0.0,24.722189999999998,13.20022
Angola,2005,urban,58.55589,22.126345,0.0,13.770370000000002,0.0,8.527989999999999,8.168585
Angola,2006,rural,18.234315000000002,8.445555,0.0,62.529880000000006,0.0,44.96262,19.573875
Angola,2006,total,41.570755,16.060055000000002,0.0,34.24673,0.0,23.95111,13.27027
Angola,2006,urban,59.34565,21.85987,0.0,12.70401,0.0,7.9470600000000005,8.46894
Angola,2008,rural,19.529075,8.278970000000001,0.0,61.13528,0.0,44.22187,19.513379999999998
Angola,2008,total,43.648955,15.890165,0.0,31.66558,0.0,22.40304,13.42657
Angola,2008,urban,60.913865,21.338225,0.0,10.57129,0.0,6.78522,9.069655000000001
Angola,2016,rural,13.23489,9.660803333333334,73.03536,55.55685,0.0,41.25888,19.271405
Angola,2016,total,26.52127,15.129209999999999,58.45216,21.226589999999998,0.0,16.16311,14.268505
Angola,2016,urban,33.94665,18.185343333333336,50.302040000000005,2.04042,0.0,2.13783,11.472525000000001
Angola,2017,rural,13.23489,9.607443333333334,73.03536,54.85954,0.0,40.88851,19.24116
Angola,2017,total,26.664179999999998,15.071993333333333,58.29531,19.92074,0.0,15.386289999999999,14.398805
Angola,2017,urban,33.94665,18.035323333333334,50.302040000000005,0.97406,0.0,1.5569,11.772885
Anguilla,2000,total,93.45285,1.11561,0.0,2.219,0.0,0.0,4.322039999999999
Anguilla,2000,urban,93.45285,1.11561,0.0,2.219,0.0,0.0,4.322039999999999
Anguilla,2001,total,93.7328,1.121255,0.0,2.09,0.0,0.0,4.100944999999999
Anguilla,2001,urban,93.7328,1.121255,0.0,2.09,0.0,0.0,4.100944999999999
Anguilla,2002,total,94.012755,1.126895,0.0,1.9609999999999999,0.0,0.0,3.87985
Anguilla,2002,urban,94.012755,1.126895,0.0,1.9609999999999999,0.0,0.0,3.87985
Anguilla,2003,total,94.292705,1.1325399999999999,0.0,1.8319999999999999,0.0,0.0,3.65876
Anguilla,2003,urban,94.292705,1.1325399999999999,0.0,1.8319999999999999,0.0,0.0,3.65876
Anguilla,2004,total,94.572655,1.13818,0.0,1.703,0.0,0.0,3.437665
Anguilla,2004,urban,94.572655,1.13818,0.0,1.703,0.0,0.0,3.437665
Anguilla,2005,total,94.85261,1.143825,0.0,1.574,0.0,0.0,3.21657
Anguilla,2005,urban,94.85261,1.143825,0.0,1.574,0.0,0.0,3.21657
Anguilla,2006,total,95.132555,1.149465,0.0,1.445,0.0,0.0,2.995475
Anguilla,2006,urban,95.132555,1.149465,0.0,1.445,0.0,0.0,2.995475
Anguilla,2008,total,95.69246,1.16075,0.0,1.187,0.0,0.0,2.5532900000000005
Anguilla,2008,urban,95.69246,1.16075,0.0,1.187,0.0,0.0,2.5532900000000005
Anguilla,2016,total,97.092215,1.18896,0.0,0.542,0.0,0.0,1.447825
Anguilla,2016,urban,97.092215,1.18896,0.0,0.542,0.0,0.0,1.447825
Anguilla,2017,total,97.092215,1.18896,0.0,0.542,0.0,0.0,1.447825
Anguilla,2017,urban,97.092215,1.18896,0.0,0.542,0.0,0.0,1.447825
Antigua and Barbuda,2000,total,90.33153999999999,1.96576,0.0,1.34545,0.0,0.09447,6.98275
Antigua and Barbuda,2001,total,90.469245,1.9751049999999999,0.0,1.26227,0.0,0.09447,6.877279999999999
Antigua and Barbuda,2002,total,90.60695000000001,1.9844549999999999,0.0,1.17909,0.0,0.09447,6.771814999999999
Antigua and Barbuda,2003,total,90.74466000000001,1.9938049999999998,0.0,1.09591,0.0,0.09447,6.6663499999999996
Antigua and Barbuda,2004,total,90.882365,2.003155,0.0,1.01273,0.0,0.09447,6.560879999999999
Antigua and Barbuda,2005,total,91.02007,2.0125,0.0,0.92955,0.0,0.09447,6.455415
Antigua and Barbuda,2006,total,91.15778,2.02185,0.0,0.8463799999999999,0.0,0.09447,6.34995
Antigua and Barbuda,2008,total,91.4332,2.04055,0.0,0.68002,0.0,0.09447,6.1390150000000006
Antigua and Barbuda,2016,total,92.121735,2.0872900000000003,0.0,0.26413000000000003,0.0,0.09447,5.61168
Antigua and Barbuda,2017,total,92.121735,2.0872900000000003,0.0,0.26413000000000003,0.0,0.09447,5.61168
Argentina,2000,rural,72.56114,1.8949099999999999,0.0,0.0,0.0,9.53909,20.774410000000003
Argentina,2000,total,91.594165,1.81272,0.0,0.0,0.0,1.1467200000000002,6.019755
Argentina,2000,urban,93.91249,1.8027099999999998,0.0,0.61143,0.0,0.12448,3.9168399999999997
Argentina,2001,rural,73.58558,1.891545,0.0,0.0,0.0,9.10556,19.97009
Argentina,2001,total,92.00203,1.7801650000000002,0.0,0.0,0.0,1.0825,5.676550000000001
Argentina,2001,urban,94.202005,1.7668599999999999,0.0,0.61143,0.0,0.12409,3.66338
Argentina,2002,rural,74.610395,1.8878150000000002,0.0,0.0,0.0,8.672039999999999,19.165774999999996
Argentina,2002,total,92.406355,1.7470900000000003,0.0,0.0,0.0,1.02041,5.336345
Argentina,2002,urban,94.49193,1.730595,0.0,0.61143,0.0,0.12369000000000001,3.409915
Argentina,2003,rural,75.63558499999999,1.883705,0.0,0.0,0.0,8.23851,18.361455
Argentina,2003,total,92.807485,1.7134900000000002,0.0,0.0,0.0,0.9603,4.99888
Argentina,2003,urban,94.782275,1.6939099999999998,0.0,0.61143,0.0,0.1233,3.15645
Argentina,2004,rural,76.661145,1.87923,0.0,0.0,0.0,7.804989999999999,17.55713
Argentina,2004,total,93.206075,1.67936,0.0,0.0,0.0,0.9018700000000001,4.6636299999999995
Argentina,2004,urban,95.07304,1.65681,0.0,0.70627,0.0,0.1229,2.8555599999999997
Argentina,2005,rural,77.687075,1.874375,0.0,0.0,0.0,7.3714699999999995,16.752815
Argentina,2005,total,93.60199,1.6447150000000001,0.0,0.0,0.0,0.84516,4.330710000000001
Argentina,2005,urban,95.364225,1.619285,0.0,0.8011199999999999,0.0,0.12251,2.5546699999999998
Argentina,2006,rural,78.71338,1.869155,0.0,7.688739999999999,0.0,6.937939999999999,12.104125
Argentina,2006,total,93.99547,1.60955,0.0,1.56166,0.0,0.7900699999999999,3.21912
Argentina,2006,urban,95.65583000000001,1.581345,0.0,0.8959600000000001,0.0,0.12212,2.2537849999999997
Argentina,2008,rural,80.767105,1.85759,0.0,7.688739999999999,0.0,6.07089,10.495484999999999
Argentina,2008,total,94.77498499999999,1.53767,0.0,1.71097,0.0,0.68475,2.489485
Argentina,2008,urban,96.240295,1.504205,0.0,1.08565,0.0,0.12133,1.65201
Argentina,2016,rural,84.879025,1.829995,0.0,0.0,0.0,4.3368,11.122580000000001
