Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Central and Southern Asia,urban,Drinking water,2000,26.7753,119708724.45697,Basic service
sdg,Central and Southern Asia,total,Drinking water,2000,4.79446,72315724.62649,Limited service
sdg,Central and Southern Asia,rural,Drinking water,2000,5.64233,59878167.00536,Limited service
sdg,Central and Southern Asia,urban,Drinking water,2000,2.78191,12437556.24625,Limited service
sdg,Central and Southern Asia,total,Drinking water,2000,41.35686,623792527.07633,Safely managed service
sdg,Central and Southern Asia,rural,Drinking water,2000,30.99076,328883419.09485,Safely managed service
sdg,Central and Southern Asia,urban,Drinking water,2000,65.96244,294909095.37041,Safely managed service
sdg,Central and Southern Asia,total,Drinking water,2000,2.39977,36196167.26634,Surface water
sdg,Central and Southern Asia,rural,Drinking water,2000,3.22503,34225038.52163,Surface water
sdg,Central and Southern Asia,urban,Drinking water,2000,0.44088,1971128.07502,Surface water
sdg,Central and Southern Asia,total,Drinking water,2000,11.60409,175026488.87297,Unimproved
sdg,Central and Southern Asia,rural,Drinking water,2000,14.791,156966632.96447,Unimproved
sdg,Central and Southern Asia,urban,Drinking water,2000,4.03946,18059882.04456,Unimproved
sdg,Central and Southern Asia,total,Sanitation,2001,27.4513,421455185.831,At least basic
sdg,Central and Southern Asia,urban,Sanitation,2001,58.08543,266806836.54342,At least basic
sdg,Central and Southern Asia,rural,Sanitation,2001,6.55352,70512462.91453,Basic service
sdg,Central and Southern Asia,total,Sanitation,2001,6.36669,97746765.04612,Limited service
sdg,Central and Southern Asia,rural,Sanitation,2001,2.86596,30836272.55665,Limited service
sdg,Central and Southern Asia,urban,Sanitation,2001,14.56681,66910492.76801,Limited service
sdg,Central and Southern Asia,total,Sanitation,2001,55.15849,846839001.70134,Open defecation
sdg,Central and Southern Asia,rural,Sanitation,2001,71.13205,765343765.98546,Open defecation
sdg,Central and Southern Asia,urban,Sanitation,2001,17.742,81495240.09342,Open defecation
sdg,Central and Southern Asia,rural,Sanitation,2001,7.8197,84135887.65781,Safely managed service
sdg,Central and Southern Asia,total,Sanitation,2001,11.02352,169242166.42308,Unimproved
sdg,Central and Southern Asia,rural,Sanitation,2001,11.62877,125119510.776,Unimproved
sdg,Central and Southern Asia,urban,Sanitation,2001,9.60576,44122649.70471,Unimproved
