,Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
617,sdg,Central and Southern Asia,total,Sanitation,2011,10.52634,188790229.89096,Limited service
620,sdg,Central and Southern Asia,total,Sanitation,2011,32.53521,583519828.76487,Open defecation
624,sdg,Central and Southern Asia,total,Sanitation,2011,8.38676,150416754.25603998,Unimproved
651,sdg,Central and Southern Asia,total,Sanitation,2012,50.69313,921797583.99249,At least basic
654,sdg,Central and Southern Asia,total,Sanitation,2012,10.878160000000001,197807203.48999,Limited service
657,sdg,Central and Southern Asia,total,Sanitation,2012,30.307809999999996,551113475.48273,Open defecation
661,sdg,Central and Southern Asia,total,Sanitation,2012,8.1209,147669352.03478,Unimproved
688,sdg,Central and Southern Asia,total,Sanitation,2013,52.83321,973791725.4668301,At least basic
691,sdg,Central and Southern Asia,total,Sanitation,2013,11.220460000000001,206809152.97724,Limited service
694,sdg,Central and Southern Asia,total,Sanitation,2013,28.08742,517691398.83668,Open defecation
698,sdg,Central and Southern Asia,total,Sanitation,2013,7.8589,144850772.71925,Unimproved
725,sdg,Central and Southern Asia,total,Sanitation,2014,54.96775,1026633936.5988599,At least basic
728,sdg,Central and Southern Asia,total,Sanitation,2014,11.55374,215789539.3907,Limited service
731,sdg,Central and Southern Asia,total,Sanitation,2014,25.87855,483334250.73437,Open defecation
735,sdg,Central and Southern Asia,total,Sanitation,2014,7.59996,141944574.27607,Unimproved
762,sdg,Central and Southern Asia,total,Sanitation,2015,57.09958,1080331798.13897,At least basic
765,sdg,Central and Southern Asia,total,Sanitation,2015,11.87823,224737678.87681,Limited service
768,sdg,Central and Southern Asia,total,Sanitation,2015,23.683329999999998,448091853.42759,Open defecation
772,sdg,Central and Southern Asia,total,Sanitation,2015,7.33886,138852126.55663002,Unimproved
799,sdg,Central and Southern Asia,total,Sanitation,2017,61.399319999999996,1191038956.27436,At least basic
802,sdg,Central and Southern Asia,total,Sanitation,2017,12.45909,241684429.4223,Limited service
805,sdg,Central and Southern Asia,total,Sanitation,2017,19.710829999999998,382355449.90752,Open defecation
809,sdg,Central and Southern Asia,total,Sanitation,2017,6.43076,124745425.39583,Unimproved
827,sdg,Eastern and South-Eastern Asia,total,Sanitation,2000,28.9217,589145130.2757901,Basic service
830,sdg,Eastern and South-Eastern Asia,total,Sanitation,2000,4.63168,94349024.0982,Limited service
833,sdg,Eastern and South-Eastern Asia,total,Sanitation,2000,7.23603,147400515.00663,Open defecation
836,sdg,Eastern and South-Eastern Asia,total,Sanitation,2000,31.6236,644183749.10347,Safely managed service
839,sdg,Eastern and South-Eastern Asia,total,Sanitation,2000,27.58698,561956280.51387,Unimproved
855,sdg,Eastern and South-Eastern Asia,total,Sanitation,2001,29.197490000000002,599518347.3992,Basic service
858,sdg,Eastern and South-Eastern Asia,total,Sanitation,2001,4.76759,97893874.84333001,Limited service
861,sdg,Eastern and South-Eastern Asia,total,Sanitation,2001,7.013669999999999,144013131.20279,Open defecation
864,sdg,Eastern and South-Eastern Asia,total,Sanitation,2001,32.03996,657883369.83611,Safely managed service
867,sdg,Eastern and South-Eastern Asia,total,Sanitation,2001,26.9813,554012845.7206401,Unimproved
883,sdg,Eastern and South-Eastern Asia,total,Sanitation,2002,30.38942,628893459.79175,Basic service
886,sdg,Eastern and South-Eastern Asia,total,Sanitation,2002,4.95753,102593588.40021999,Limited service
889,sdg,Eastern and South-Eastern Asia,total,Sanitation,2002,6.67161,138065472.16199,Open defecation
892,sdg,Eastern and South-Eastern Asia,total,Sanitation,2002,32.48645,672290527.3648,Safely managed service
895,sdg,Eastern and South-Eastern Asia,total,Sanitation,2002,25.494989999999998,527605794.28124005,Unimproved
911,sdg,Eastern and South-Eastern Asia,total,Sanitation,2003,30.44705,634949844.03795,Basic service
914,sdg,Eastern and South-Eastern Asia,total,Sanitation,2003,5.1243099999999995,106863572.47686,Limited service
917,sdg,Eastern and South-Eastern Asia,total,Sanitation,2003,6.3430599999999995,132279654.2034,Open defecation
920,sdg,Eastern and South-Eastern Asia,total,Sanitation,2003,33.97424,708506806.46219,Safely managed service
923,sdg,Eastern and South-Eastern Asia,total,Sanitation,2003,24.11134,502823468.81750995,Unimproved
939,sdg,Eastern and South-Eastern Asia,total,Sanitation,2004,30.34873,637689730.93482,Basic service
942,sdg,Eastern and South-Eastern Asia,total,Sanitation,2004,5.28862,111124926.64755,Limited service
945,sdg,Eastern and South-Eastern Asia,total,Sanitation,2004,6.01764,126443029.94706,Open defecation
948,sdg,Eastern and South-Eastern Asia,total,Sanitation,2004,35.594120000000004,747906236.7711,Safely managed service
951,sdg,Eastern and South-Eastern Asia,total,Sanitation,2004,22.75089,478043222.69737,Unimproved
967,sdg,Eastern and South-Eastern Asia,total,Sanitation,2005,30.11451,637458452.329,Basic service
970,sdg,Eastern and South-Eastern Asia,total,Sanitation,2005,5.447080000000001,115302796.48128998,Limited service
973,sdg,Eastern and South-Eastern Asia,total,Sanitation,2005,5.69608,120573485.2595,Open defecation
976,sdg,Eastern and South-Eastern Asia,total,Sanitation,2005,37.327740000000006,790146795.70265,Safely managed service
979,sdg,Eastern and South-Eastern Asia,total,Sanitation,2005,21.4146,453300297.22757,Unimproved
995,sdg,Eastern and South-Eastern Asia,total,Sanitation,2006,29.92912,638132816.66089,Basic service
998,sdg,Eastern and South-Eastern Asia,total,Sanitation,2006,5.60128,119427543.92978,Limited service
1001,sdg,Eastern and South-Eastern Asia,total,Sanitation,2006,5.37716,114649042.88621001,Open defecation
1004,sdg,Eastern and South-Eastern Asia,total,Sanitation,2006,38.98084,831128868.56458,Safely managed service
1007,sdg,Eastern and South-Eastern Asia,total,Sanitation,2006,20.1116,428809002.95853996,Unimproved
