,Region,Year,Basic service,Limited service,Open defecation,Safely managed service,Unimproved
117,Oceania,2015,31.703459999999996,3.9153,13.65205,,50.72919
118,Oceania,2017,30.302809999999997,3.93381,13.938670000000002,,51.824709999999996
119,Sub-Saharan Africa,2000,8.18178,15.0989,32.48551,14.849079999999999,29.38472
120,Sub-Saharan Africa,2001,8.30128,15.30034,31.75719,15.131470000000002,29.509729999999998
121,Sub-Saharan Africa,2002,8.401539999999999,15.45734,31.013140000000003,15.452539999999999,29.675440000000002
122,Sub-Saharan Africa,2003,8.607280000000001,15.61863,30.26445,15.66514,29.8445
123,Sub-Saharan Africa,2004,8.80975,15.79928,29.511409999999998,15.86692,30.01264
124,Sub-Saharan Africa,2005,9.020589999999999,15.97216,28.75165,16.0783,30.17731
125,Sub-Saharan Africa,2006,9.23245,16.131320000000002,27.99292,16.30415,30.339170000000003
126,Sub-Saharan Africa,2007,9.43745,16.28289,27.262490000000003,16.52257,30.4946
127,Sub-Saharan Africa,2008,9.66997,16.448729999999998,26.477829999999997,16.761770000000002,30.641709999999996
128,Sub-Saharan Africa,2009,9.92335,16.62424,25.70209,16.96998,30.78033
129,Sub-Saharan Africa,2010,10.18027,16.80163,24.92901,17.18347,30.90563
130,Sub-Saharan Africa,2011,10.41413,16.93069,24.69163,17.270129999999998,30.693409999999997
131,Sub-Saharan Africa,2012,10.702110000000001,17.107789999999998,23.93816,17.46509,30.78685
132,Sub-Saharan Africa,2013,10.9971,17.28305,23.1908,17.65571,30.87333
133,Sub-Saharan Africa,2014,11.298060000000001,17.45986,22.44661,17.8451,30.95037
134,Sub-Saharan Africa,2015,11.60346,17.64066,21.70552,18.03221,31.018140000000002
135,Sub-Saharan Africa,2017,12.256039999999999,18.07827,19.97072,18.445320000000002,31.24965
